46520,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
4319636,22,2013-08-09,Superhost,4,Centro Storico,4,2,Entire home,4,150,240,4.66,4.68,4.66,4.79,4.9,4.93,4.68,2.2,Firenze,Early Winter,1,private,"43.76512, 11.25479",2024-12-15
4838235,46,2013-11-01,Host,6,Centro Storico,5,3,Entire home,5,50,285,4.61,4.55,4.49,4.72,4.76,4.96,4.64,2.75,Firenze,Early Winter,1,private,"43.76416, 11.25762",2024-12-15
4865707,30,2014-12-07,Superhost,5,Centro Storico,2,1,Entire home,4,120,109,4.9,4.9,4.88,4.92,4.95,4.94,4.83,1.05,Firenze,Early Winter,1,private,"43.77203, 11.25695",2024-12-15
4342697,0,2014-10-09,Host,1,Isolotto Legnaia,2,1,Entire home,4,100,20,4.85,4.75,4.85,4.9,4.85,4.4,4.85,0.18,Firenze,Early Winter,2,private,"43.77131, 11.2149",2024-12-15
4899071,0,2013-07-24,Host,4,Gavinana Galluzzo,2,1,Entire home,4,108,2,5,5,5,5,5,4.5,5,0.02,Firenze,Early Winter,1,private,"43.75293, 11.23572",2024-12-15
4345116,96,2014-10-15,Superhost,2,Centro Storico,1,1,Entire home,2,93,503,4.83,4.9,4.91,4.94,4.92,4.97,4.79,4.8,Firenze,Early Winter,1,private,"43.77602, 11.25629",2024-12-15
4902469,0,2014-12-26,Host,2,Centro Storico,1,1,Entire home,3,213,73,4.56,4.81,4.73,4.66,4.71,4.79,4.53,0.7,Firenze,Early Winter,2,private,"43.77033, 11.27018",2024-12-15
4904426,9,2013-05-05,Superhost,8,Centro Storico,3,2,Entire home,4,82,94,4.83,4.89,4.85,4.93,4.94,4.81,4.77,0.89,Firenze,Early Winter,1,private,"43.77762, 11.25396",2024-12-15
4354114,9,2014-10-16,Superhost,1,Centro Storico,2,1,Entire home,3,150,52,4.85,4.88,4.9,4.96,4.98,4.96,4.76,0.49,Firenze,Early Winter,1,private,"43.76603898553991, 11.25119725827629",2024-12-15
4921610,0,2014-01-08,Host,2,Centro Storico,4,2,Entire home,5,189,88,4.74,4.85,4.83,4.87,4.91,4.84,4.82,0.83,Firenze,Early Winter,2,private,"43.77738, 11.25496",2024-12-15
4922294,1,2014-12-17,Host,2,Campo di Marte,2,1,Entire home,4,188,254,4.63,4.7,4.81,4.8,4.75,4.64,4.64,2.33,Firenze,Early Winter,1,private,"43.7698, 11.27638",2024-12-15
4362732,11,2014-08-21,Superhost,4,Isolotto Legnaia,2,1,Entire home,4,107,109,4.9,4.97,4.95,4.94,4.98,4.73,4.79,1.06,Firenze,Early Winter,1,private,"43.77338, 11.23186",2024-12-15
4370036,45,2014-10-13,Superhost,8,Centro Storico,1,1,Entire home,2,180,511,4.77,4.81,4.78,4.87,4.9,4.96,4.76,4.59,Firenze,Early Winter,1,private,"43.77331, 11.25594",2024-12-15
4927848,1,2014-12-30,Superhost,3,Centro Storico,3,2,Entire home,4,143,37,4.73,4.84,4.65,4.97,4.95,4.84,4.68,0.35,Firenze,Early Winter,2,private,"43.78142, 11.25726",2024-12-15
4929877,0,2014-06-22,Superhost,6,Centro Storico,2,1,Entire home,8,290,4,5,5,5,5,5,5,5,0.09,Firenze,Early Winter,2,private,"43.77605, 11.25618",2024-12-15
4945691,2,2012-03-24,Host,10,Centro Storico,1,1,Private room,1,50,14,4.57,4.71,4.43,4.69,4.62,4.85,4.38,0.15,Firenze,Early Winter,2,private,"43.77974, 11.25452",2024-12-15
4946149,1,2012-03-24,Host,10,Centro Storico,1,1,Private room,1,50,8,4.88,4.88,4.88,4.88,4.75,4.75,4.88,0.08,Firenze,Early Winter,2,private,"43.78079, 11.25549",2024-12-15
4946304,1,2012-03-24,Host,10,Centro Storico,1,1,Private room,1,50,3,4.33,4.67,4,4.67,4.67,5,4,0.04,Firenze,Early Winter,2,private,"43.77855, 11.25597",2024-12-15
4952333,0,2012-03-24,Host,10,Centro Storico,1,1,Private room,1,50,6,4.67,5,5,5,5,4.8,4.4,0.06,Firenze,Early Winter,2,private,"43.78058, 11.25469",2024-12-15
4952457,1,2012-03-24,Host,10,Centro Storico,1,1,Private room,1,50,12,4.92,5,4.75,4.91,4.92,4.82,4.73,0.11,Firenze,Early Winter,2,private,"43.78052, 11.25528",2024-12-15
4373358,3,2014-01-31,Host,3,Centro Storico,1,1,Entire home,2,80,124,4.53,4.65,4.55,4.79,4.77,4.97,4.61,1.52,Firenze,Early Winter,1,private,"43.77473, 11.25649",2024-12-15
4375536,8,2014-10-19,Superhost,1,Isolotto Legnaia,6,3,Entire home,8,93,510,4.9,4.92,4.94,4.98,4.99,4.69,4.87,4.59,Firenze,Early Winter,1,private,"43.77922, 11.213",2024-12-15
4953441,2,2013-10-03,Host,5,Isolotto Legnaia,2,1,Private room,3,57,62,4.84,4.94,4.64,4.97,4.97,4.84,4.82,0.6,Firenze,Early Winter,2,shared,"43.77298, 11.22204",2024-12-15
4961760,9,2015-01-04,Superhost,2,Centro Storico,1,1,Entire home,2,104,17,5,4.94,5,4.94,4.94,5,4.82,0.18,Firenze,Early Winter,1,private,"43.7642, 11.24754",2024-12-15
4962982,4,2015-01-04,Host,1,Centro Storico,2,1,Entire home,4,120,205,4.75,4.88,4.94,4.94,4.97,4.92,4.81,1.93,Firenze,Early Winter,1,private,"43.76985, 11.24981",2024-12-15
4964080,59,2014-11-26,Superhost,4,Centro Storico,1,1,Private room,1,50,328,4.6,4.7,4.79,4.77,4.8,4.63,4.58,3.02,Firenze,Early Winter,1,shared,"43.77958, 11.23947",2024-12-15
